"bill_date","total_revenue"
"2023-01-01","5561.98"
"2023-01-02","4201.76"
"2023-01-03","2736.34"
"2023-01-05","894.39"
"2023-01-06","3729.19"
"2023-01-07","3228.14"
"2023-01-08","4833.17"
"2023-01-11","2593.43"
"2023-01-12","4055.14"
"2023-01-13","1595.67"
"2023-01-15","3489.3399999999997"
"2023-01-16","3249.41"
"2023-01-17","4652.41"
"2023-01-20","3615.96"
"2023-01-24","3428.95"
"2023-01-26","2960.14"
"2023-01-28","2512.41"
"2023-01-30","1363.4"
"2023-02-03","2761.55"
"2023-02-04","4550.1"
"2023-02-05","4019.13"
"2023-02-06","1882.8"
"2023-02-12","1565.92"
"2023-02-13","806.78"
"2023-02-14","857.39"
"2023-02-18","5048.01"
"2023-02-23","9093.150000000001"
"2023-02-25","1726.81"
"2023-02-26","2293.98"
"2023-02-28","2064.07"
"2023-03-02","1551.7"
"2023-03-03","1280.86"
"2023-03-05","4541.14"
"2023-03-06","4637.26"
"2023-03-08","2691.78"
"2023-03-09","2987.3599999999997"
"2023-03-14","606.37"
"2023-03-16","3492.1"
"2023-03-17","3165.2299999999996"
"2023-03-21","5940"
"2023-03-23","4289.15"
"2023-03-27","2849.26"
"2023-03-28","2675.96"
"2023-03-29","6596.12"
"2023-04-01","975.49"
"2023-04-04","6989.9"
"2023-04-06","1903.17"
"2023-04-07","2526.67"
"2023-04-08","6207.63"
"2023-04-09","2489.2"
"2023-04-12","4875.8"
"2023-04-14","3202.67"
"2023-04-15","4703.74"
"2023-04-17","6488.71"
"2023-04-18","8180.120000000001"
"2023-04-21","4973.63"
"2023-04-24","7308.82"
"2023-04-26","1096.36"
"2023-04-30","2349.63"
"2023-05-01","1472.17"
"2023-05-02","3187.92"
"2023-05-06","2835.77"
"2023-05-07","771.2"
"2023-05-08","2735.45"
"2023-05-09","8847.949999999999"
"2023-05-10","1475.33"
"2023-05-11","4671.5"
"2023-05-12","4331.41"
"2023-05-13","901.06"
"2023-05-15","3383.72"
"2023-05-22","3787.93"
"2023-05-24","3413.64"
"2023-05-25","2082.3"
"2023-05-31","4893.7"
"2023-06-01","885.46"
"2023-06-04","4890.25"
"2023-06-09","4158.44"
"2023-06-11","4523.86"
"2023-06-12","1543.76"
"2023-06-13","3052.9"
"2023-06-14","3139.74"
"2023-06-15","3689.35"
"2023-06-17","4178.52"
"2023-06-19","1381"
"2023-06-20","3605.02"
"2023-06-21","3722.68"
"2023-06-25","3565.03"
"2023-06-26","2426.9"
"2023-06-27","4450.88"
"2023-06-28","3731.55"
"2023-06-29","1256.06"
"2023-06-30","2686.42"
"2023-07-04","4101.6"
"2023-07-06","582.05"
"2023-07-07","2101.27"
"2023-07-08","2820.56"
"2023-07-11","5558.22"
"2023-07-12","3528.7"
"2023-07-19","3010.03"
"2023-07-23","3175.14"
"2023-07-24","2313.41"
"2023-07-26","4804.67"
"2023-07-28","4406.26"
"2023-07-29","3478.28"
"2023-08-08","3030.34"
"2023-08-09","5346.17"
"2023-08-10","930.72"
"2023-08-14","1959.5"
"2023-08-16","17333.84"
"2023-08-19","2777.64"
"2023-08-25","1185.87"
"2023-08-26","3231.92"
"2023-08-29","1316.47"
"2023-08-31","4846.2"
"2023-09-01","4799.86"
"2023-09-03","3941.64"
"2023-09-09","3306.14"
"2023-09-15","2446.24"
"2023-09-17","3628.15"
"2023-09-20","4186.35"
"2023-09-21","4794.13"
"2023-09-23","980.95"
"2023-09-28","4478.93"
"2023-09-29","864.14"
"2023-10-05","1108.25"
"2023-10-06","1736.63"
"2023-10-10","4217.3"
"2023-10-17","2844.31"
"2023-10-19","3102.74"
"2023-10-22","4201.16"
"2023-10-25","13168.39"
"2023-10-26","2477.8"
"2023-10-29","7073.200000000001"
"2023-10-31","3384.37"
"2023-11-01","662.72"
"2023-11-02","4672.3"
"2023-11-06","3690.71"
"2023-11-07","4960.65"
"2023-11-11","2120.61"
"2023-11-12","4671.66"
"2023-11-13","6272.200000000001"
"2023-11-14","4731.3"
"2023-11-15","1871.06"
"2023-11-16","4834.02"
"2023-11-22","8272.08"
"2023-11-24","770.64"
"2023-11-27","4945.03"
"2023-12-05","4113.62"
"2023-12-06","2992.11"
"2023-12-08","935.04"
"2023-12-14","1113.98"
"2023-12-16","4012.36"
"2023-12-17","1023.65"
"2023-12-18","2911.22"
"2023-12-20","1526.36"
"2023-12-24","2259.08"
"2023-12-26","3394.14"
"2023-12-30","3288.15"
